geoid,total_pop,no_car
01017954000,6525,457
01017954200,3846,124
01017954300,4020,178
01017954400,1001,48
01017954500,3543,294
01017954600,3803,136
01017954700,4869,67
01019955701,3338,99
01019955702,4713,21
01019955800,4592,91
01019955900,3958,151
01019956000,3716,162
01019956100,5383,165
01021060101,4793,105
01021060102,5866,150
01021060200,2643,114
01021060300,3754,266
01021060401,5385,134
01021060402,9067,106
01021060500,3105,155
01021060600,3340,10
01021060700,5168,41
01023956700,3011,141
01023956800,4771,200
01023956900,3762,87
01023957000,2567,77
01025957500,1302,63
01025957601,1175,28
01025957602,6189,121
01025957700,1476,58
01025957800,5225,445
01025957901,3526,186
01025957902,4369,302
01025958001,1453,60
01025958002,1540,29
01027958900,4897,383
01027959000,3793,115
01027959100,2896,75
01027959200,2454,51
01029959500,2160,63
01029959600,3989,216
01029959700,3832,84
01029959800,4842,198
01031010100,2010,31
01031010200,1918,55
01031010300,4303,172
01031010400,2446,58
01031010500,4529,183
01031010600,1564,41
01031010700,2075,55
01031010800,2537,38
01031010900,1941,164
01031011000,3610,280
01031011100,1876,31
01031011201,7457,147
01031011202,7962,232
01031011300,4121,819
01033020100,3738,201
01033020200,1773,175
01033020300,1983,492
01033020400,1562,13
01033020500,5308,301
01033020600,3780,294
01033020701,5848,162
01033020703,5339,29
01033020704,4230,27
01033020801,5051,64
01033020802,3484,101
01033020901,4148,58
01033020902,4045,46
01033021000,4157,130
01035960200,1711,50
01035960300,2095,100
01035960400,3441,266
01035960500,1443,54
01035960600,4692,179
01037961000,4208,231
01037961100,4359,76
01037961200,2903,47
01039961600,3994,101
01039961700,3969,299
01039961800,2437,159
01039961900,2485,0
01039962000,3462,173
01039962100,2779,321
01039962300,2699,99
01039962400,3262,155
01039962500,1366,50
01039962600,1363,87
01039962700,1873,382
01039962800,1745,27
01039962900,1903,0
01039963000,4271,145
01041963400,1813,282
01041963500,1463,20
01041963600,3477,68
01041963700,4018,120
01041963800,1880,199
01041963900,1277,77
01043964100,5413,207
01043964200,7209,121
01043964300,5024,29
01043964400,3891,211
01043964500,4462,91
01043964600,3705,34
01043964700,4315,74
01043964800,4295,393
01043964900,6252,167
01043965000,6408,353
01043965100,3620,28
01043965200,2442,71
01043965300,4966,123
01043965401,3202,42
01043965402,4093,68
01043965500,6134,215
01043965600,2001,27
01043965700,2509,48
01045020000,5373,100
01045020100,3884,111
01045020200,2011,30
01045020300,2143,0
01045020400,2593,0
01045020500,1870,66
01045020700,3073,461
01045020801,3323,16
01045020802,4533,181
01045021101,3665,86
01045021102,4378,120
01045021200,2567,264
01045021300,3896,81
01045021400,6421,142
01047956100,6337,226
01047956201,2972,83
01047956202,2152,49
01047956300,2731,106
01047956400,3188,531
01047956500,4489,1238
01047956600,4581,351
01047956701,2055,0
01047956702,1371,93
01047956800,1982,219
01047956900,3225,414
01047957000,1312,154
01047957100,1107,165
01047957200,2191,156
01047957300,4373,663
01049960100,6418,220
01049960200,3421,117
01049960300,7630,208
01049960400,6260,305
01049960500,5602,156
01049960600,5882,47
01049960700,8120,241
01049960800,4577,116
01049960900,3588,33
01049961000,4266,79
01049961100,3087,128
01049961200,1820,0
01049961300,5825,468
01049961400,3542,101
01051030100,10371,133
01051030200,4696,71
01051030300,2359,55
01051030400,7489,207
01051030500,4325,113
01051030600,7990,130
01051030701,5807,42
01051030702,3374,178
01051030800,5609,311
01051030901,6266,83
01051030902,3973,154
01051031000,5945,70
01051031100,4529,53
01051031200,1560,65
01051031300,3357,171
01053969800,5818,336
01053969900,4231,99
01053970100,4140,42
01053970200,1602,301
01053970300,4111,111
01053970400,5901,40
01053970500,5038,188
01053970600,3545,340
01053970700,3610,21
01055000200,3814,351
01055000300,2106,345
01055000400,4129,30
01055000500,1557,37
01055000600,2175,138
01055000700,1179,30
01055000800,1200,99
01055000900,2933,210
01055001000,1646,151
01055001100,4759,46
01055001200,3441,192
01055001300,2829,175
01055001600,3316,143
01055001700,1558,100
01055010100,2099,55
01055010200,5390,172
01055010300,3590,41
01055010401,3465,49
01055010402,5417,116
01055010501,8002,32
01055010502,5042,42
01055010601,5348,49
01055010602,4188,185
01055010700,3296,117
01055010800,3138,74
01055010900,1809,25
01055011001,4435,145
01055011002,4718,190
01055011100,4796,225
01055011200,2691,511
01057020000,1572,0
01057020100,4083,93
01057020200,4338,287
01057020300,3907,191
01057020400,3572,186
01059972900,4012,226
01059973000,5531,217
01059973100,2198,33
01059973200,4320,203
01059973300,3422,72
01059973400,2498,121
01059973500,1896,60
01059973600,1868,86
01059973700,5638,110
01061050100,5147,269
01061050200,1984,0
01061050300,5455,153
01061050400,5673,128
01061050500,4534,154
01061050600,3748,27
01063060000,1780,102
01063060100,4546,502
01063060200,2929,141
01065040000,3169,128
01065040100,1736,51
01065040200,1408,10
01065040300,2024,134
01065040400,5999,720
01065040500,1832,153
01067030100,2065,261
01067030200,3309,130
01067030300,3020,75
01067030400,1964,40
01067030500,5270,230
01067030600,1520,38
01069040100,4608,124
01069040201,8803,169
01069040202,7982,95
01069040301,4012,185
01069040302,3473,134
01069040400,2530,23
01069040500,3430,96
01069040600,2471,463
01069040700,2588,63
01069040800,7317,181
01069040900,4625,59
01069041000,5030,309
01069041100,3936,191
01069041200,2447,482
01069041400,2610,361
01069041500,4442,713
01069041600,5021,153
01069041700,1400,77
01069041800,2040,58
01069041900,7028,160
01069042000,5638,138
01069042100,7598,172
01071950100,6520,144
01071950200,3311,90
01071950300,6131,158
01071950400,2153,34
01071950500,3668,82
01071950600,6628,455
01071950700,4016,189
01071950800,4047,167
01071950900,5518,201
01071951000,4426,96
01071951100,6968,171
01073000100,3351,243
01073000300,2402,533
01073000400,4044,447
01073000500,3155,776
01073000700,2897,808
01073000800,3671,557
01073001100,5730,395
01073001200,3204,397
01073001400,2250,211
01073001500,2729,504
01073001600,3898,580
01073001902,2751,608
01073002000,3284,225
01073002100,3185,156
01073002200,2950,158
01073002303,3033,470
01073002305,2824,407
01073002306,3374,60
01073002400,4103,411
01073002700,3198,518
01073002900,2364,872
01073003001,2893,155
01073003002,2327,426
01073003100,4071,546
01073003200,736,212
01073003300,1306,302
01073003400,2606,362
01073003500,3332,379
01073003600,4967,196
01073003700,6216,580
01073003802,6276,521
01073003803,4929,627
01073003900,1977,275
01073004000,4580,808
01073004200,2507,590
01073004500,2752,596
01073004701,3072,91
01073004702,3060,43
01073004800,1969,124
01073004901,1053,175
01073004902,3190,390
01073005000,4339,241
01073005101,1775,452
01073005103,2809,202
01073005104,3227,194
01073005200,4358,463
01073005302,3688,59
01073005500,1914,146
01073005600,4760,201
01073005701,2719,199
01073005702,3658,481
01073005800,3827,354
01073005903,5080,153
01073005905,5421,337
01073005907,2106,17
01073005908,4167,236
01073005909,2616,0
01073005910,5850,177
01073010001,5422,83
01073010002,5119,101
01073010100,2065,193
01073010200,2566,403
01073010301,2657,341
01073010302,4471,702
01073010401,3351,282
01073010402,2432,242
01073010500,1516,194
01073010602,6504,631
01073010603,2551,22
01073010701,2129,46
01073010702,4746,434
01073010703,2093,14
01073010704,5212,21
01073010705,3287,46
01073010706,4229,36
01073010801,6046,12
01073010802,3474,27
01073010803,6012,111
01073010804,3182,9
01073010805,7686,156
01073010900,4991,241
01073011001,5949,335
01073011002,1793,35
01073011104,7644,134
01073011107,9994,91
01073011108,4413,9
01073011109,4069,36
01073011110,5132,20
01073011111,7274,0
01073011205,2040,0
01073011206,5579,39
01073011207,4956,21
01073011208,3671,67
01073011209,3827,261
01073011210,3500,94
01073011301,3436,497
01073011302,5947,185
01073011400,6759,420
01073011500,5679,186
01073011600,4173,70
01073011703,8426,122
01073011704,4175,70
01073011705,7725,185
01073011706,2351,110
01073011802,7008,152
01073011803,5129,297
01073011804,2834,34
01073011901,3171,222
01073011904,2599,149
01073012001,4312,138
01073012002,6783,35
01073012103,4933,78
01073012104,3037,52
01073012200,3821,84
01073012302,3812,80
01073012304,2335,0
01073012305,7796,14
01073012401,3836,166
01073012402,2271,45
01073012403,3711,54
01073012500,4423,84
01073012602,2910,80
01073012701,3615,90
01073012703,4799,36
01073012704,1877,8
01073012802,2599,25
01073012803,5220,30
01073012905,4339,114
01073012906,6487,272
01073012907,4387,38
01073012908,5542,128
01073012910,3385,29
01073012911,5745,67
01073012912,5295,289
01073012913,3389,52
01073012914,1948,196
01073012915,6222,226
01073013002,1548,52
01073013100,4415,607
01073013200,2502,93
01073013300,2936,207
01073013400,4463,338
01073013601,3711,252
01073013801,2502,110
01073013901,2045,81
01073013902,2260,85
01073014001,4106,9
01073014002,3528,33
01073014102,5076,112
01073014104,3329,212
01073014105,4311,268
01073014203,10982,91
01073014204,9335,12
01073014301,2731,154
01073014302,4011,100
01073014404,5066,10
01073014405,4034,30
01073014406,5657,133
01073014408,3159,140
01073014409,3333,68
01073014410,4993,12
01073014412,4174,30
01073014413,8352,26
01075030000,4977,117
01075030100,6081,219
01075030200,3685,80
01077010100,2612,47
01077010200,1566,250
01077010300,1523,413
01077010400,2647,243
01077010600,2358,248
01077010700,2093,280
01077010800,3862,264
01077010900,6638,158
01077011000,4912,221
01077011101,5433,341
01077011102,4724,48
01077011200,3882,107
01077011300,1832,33
01077011400,6371,120
01077011501,6607,85
01077011502,4825,54
01077011602,5471,41
01077011603,4591,41
01077011604,7162,110
01077011700,4941,135
01077011801,4784,75
01077011802,2928,98
01079979100,1866,67
01079979200,4093,396
01079979300,4428,182
01079979400,4582,151
01079979500,5784,12
01079979600,5877,239
01079979700,2253,13
01079979800,3309,61
01079979900,2043,39
01081040200,5104,142
01081040300,2109,94
01081040400,6500,110
01081040500,6871,42
01081040602,3733,279
01081040603,864,0
01081040604,5783,10
01081040700,4541,0
01081040800,3301,233
01081040901,3633,46
01081040902,4551,148
01081041000,6154,319
01081041100,8955,470
01081041200,4528,86
01081041300,3173,238
01081041400,3634,672
01081041600,2875,729
01081041700,8047,94
01081041800,8021,232
01081041900,8e3,117
01081042002,5624,35
01081042003,3802,44
01081042004,9523,73
01081042005,3694,11
01081042006,1752,44
01081042101,3591,185
01081042102,6647,184
01083020101,4537,79
01083020102,5698,100
01083020201,4432,242
01083020202,4615,8
01083020300,3790,39
01083020401,5539,209
01083020402,5553,41
01083020500,2477,200
01083020600,3921,318
01083020700,2167,210
01083020801,7661,86
01083020802,7407,39
01083020900,4003,62
01083021000,2824,66
01083021100,6292,178
01083021200,7698,59
01085780800,3750,224
01085781000,3337,272
01085781100,2010,352
01085781200,2634,177
01087231400,1775,48
01087231500,2610,158
01087231601,1327,51
01087231602,1281,209
01087231603,1091,27
01087231700,3338,108
01087231800,1188,148
01087231900,1698,257
01087232000,1369,220
01087232100,1834,101
01087232200,2280,229
01087232300,1908,99
01089000201,735,120
01089000202,4079,197
01089000301,3848,168
01089000302,3777,319
01089000403,4950,55
01089000501,1923,74
01089000502,2599,188
01089000503,2104,12
01089000601,1650,67
01089000602,2014,228
01089000701,2902,314
01089000702,2438,199
01089000901,4514,59
01089000902,2149,26
01089001000,2931,137
01089001200,3185,794
01089001301,3462,208
01089001302,2179,169
01089001401,1700,0
01089001402,4276,166
01089001500,4657,161
01089001700,2070,44
01089001801,3859,42
01089001901,3588,108
01089001902,1311,113
01089001903,2626,24
01089002000,2263,55
01089002100,3863,747
01089002200,2199,109
01089002300,5554,343
01089002400,4290,445
01089002501,3378,354
01089002502,3168,131
01089002600,3973,135
01089002701,2256,54
01089002721,4269,44
01089002722,3083,11
01089002801,4286,230
01089002802,5383,131
01089002911,4621,121
01089002912,2567,64
01089002921,6274,188
01089002922,4473,10
01089003000,2728,350
01089003100,3855,375
01089010100,8585,138
01089010200,5648,23
01089010301,7334,35
01089010302,3223,24
01089010401,5926,286
01089010402,6945,161
01089010501,9829,38
01089010502,2758,8
01089010612,4243,40
01089010621,6624,73
01089010622,7794,517
01089010623,4955,32
01089010624,7818,63
01089010701,7280,355
01089010702,6961,106
01089010800,8775,91
01089010901,12091,70
01089010902,2855,213
01089011011,8786,0
01089011012,5685,53
01089011013,4789,10
01089011014,7705,54
01089011021,4081,120
01089011022,5568,123
01089011100,2372,0
01089011200,6988,107
01089011300,4858,18
01089011400,4595,174
01091972900,4434,663
01091973000,5251,358
01091973100,2104,83
01091973200,2581,114
01091973300,2522,76
01091973400,4404,119
01093964000,4873,193
01093964100,2820,149
01093964200,1735,48
01093964300,4686,209
01093964400,5981,87
01093964500,2186,111
01093964600,3217,31
01093964700,5294,231
01095030100,2587,121
01095030201,5477,81
01095030202,5148,85
01095030300,5908,104
01095030401,4044,174
01095030402,3153,27
01095030500,7068,191
01095030600,6289,390
01095030701,3957,162
01095030702,4409,79
01095030801,4583,214
01095030802,7916,179
01095030902,4125,178
01095030903,5602,383
01095030904,5137,250
01095031000,5814,324
01095031100,4432,314
01095031200,5218,114
01097000200,1161,196
01097000401,1145,169
01097000402,285,18
01097000500,2270,351
01097000600,2897,487
01097000701,1925,294
01097000702,2621,272
01097000800,4231,213
01097000901,1548,51
01097000902,2020,82
01097000903,1804,62
01097001001,1711,200
01097001002,2313,150
01097001100,2088,405
01097001200,3427,559
01097001302,3313,531
01097001400,2254,311
01097001501,2506,439
01097001502,1873,630
01097001800,2324,20
01097001901,2220,58
01097001902,3526,311
01097002000,1790,16
01097002100,4496,137
01097002200,2609,59
01097002301,2291,294
01097002302,2611,173
01097002400,3936,257
01097002501,3462,215
01097002502,2718,42
01097002600,3603,412
01097002700,2193,207
01097002800,4614,315
01097002900,3622,157
01097003000,3053,102
01097003100,4440,60
01097003202,2718,133
01097003203,3253,219
01097003204,3188,218
01097003205,2838,440
01097003301,2407,22
01097003302,4586,98
01097003402,3750,105
01097003404,3076,57
01097003405,1876,35
01097003406,2445,98
01097003407,6819,26
01097003408,3670,40
01097003501,3708,17
01097003502,2460,31
01097003602,1113,26
01097003605,2073,0
01097003606,3275,28
01097003607,2994,242
01097003608,1448,0
01097003703,2956,51
01097003704,4292,8
01097003705,4331,313
01097003706,3028,21
01097003707,3963,66
01097003708,3943,154
01097003709,5766,58
01097003710,4643,115
01097003800,1596,157
01097003901,2081,164
01097003902,1360,53
01097004000,2598,405
01097004100,903,273
01097004800,1351,362
01097004900,3508,632
01097005000,2060,80
01097005100,1490,20
01097005200,1501,75
01097005300,2088,84
01097005400,4039,95
01097005500,3184,153
01097005600,7305,140
01097005700,6527,42
01097005800,4001,103
01097005900,4705,40
01097006000,4456,173
01097006102,2784,33
01097006103,4805,107
01097006104,4030,69
01097006105,6835,178
01097006200,5597,103
01097006301,10325,235
01097006302,6224,99
01097006402,4407,236
01097006403,1981,24
01097006404,11076,132
01097006405,7329,66
01097006406,7813,30
01097006407,5935,0
01097006501,4791,40
01097006502,11398,154
01097006600,5125,121
01097006701,6779,210
01097006702,3948,34
01097006801,7693,214
01097006802,3084,76
01097006901,7121,355
01097006902,3725,226
01097007000,4536,43
01097007101,5090,59
01097007102,3211,115
01097007103,3745,86
01097007201,2433,0
01097007202,2576,24
01097007300,4026,202
01097007400,3885,315
01097007500,1914,416
01097007600,2464,355
01097007700,1663,237
01097990000,0,0
01099075600,1555,57
01099075700,1522,282
01099075800,1737,244
01099075900,6629,114
01099076000,3377,417
01099076100,6541,154
01099076200,1968,59
01101000100,1664,487
01101000200,1584,224
01101000300,1537,160
01101000400,4693,299
01101000500,3561,285
01101000600,1333,423
01101000700,1280,394
01101000900,2038,12
01101001000,1242,377
01101001100,3259,671
01101001200,1535,564
01101001300,2968,213
01101001400,3750,54
01101001500,5062,355
01101001600,3344,508
01101001700,5830,58
01101001800,3300,24
01101001900,3434,42
01101002000,4450,129
01101002100,4845,149
01101002201,5037,716
01101002202,1452,156
01101002300,3098,401
01101002400,1539,259
01101002500,3342,372
01101002600,5885,130
01101002700,4223,99
01101002800,4664,262
01101002900,7338,642
01101003000,3619,844
01101003100,4673,267
01101003200,6245,906
01101003301,3560,8
01101003302,5811,65
01101005101,3708,106
01101005102,4915,254
01101005301,715,10
01101005302,2159,33
01101005402,5420,331
01101005403,4006,96
01101005406,8701,114
01101005407,4027,11
01101005408,7498,0
01101005409,2291,36
01101005410,4511,40
01101005501,3337,51
01101005502,722,0
01101005503,3719,0
01101005504,648,27
01101005603,6926,506
01101005604,3725,172
01101005605,3697,153
01101005606,4832,0
01101005607,4450,18
01101005608,834,3
01101005609,3523,73
01101005610,1269,6
01101005611,1886,0
01101005612,1050,0
01101005700,1488,30
01101005800,2057,108
01101005901,4405,149
01101005902,4461,255
01101006000,3733,79
01101006100,2110,165
01103000100,5080,433
01103000200,3848,70
01103000300,2713,17
01103000400,3729,307
01103000600,2716,200
01103000700,3934,243
01103000800,2970,15
01103000900,5157,259
01103001000,2814,120
01103005101,5362,178
01103005103,1097,0
01103005105,2232,11
01103005106,5903,150
01103005107,4020,124
01103005108,4385,116
01103005109,4454,126
01103005200,6988,195
01103005301,8521,181
01103005302,3669,11
01103005303,3677,146
01103005304,5208,160
01103005404,4676,92
01103005405,5594,95
01103005500,5110,93
01103005600,5093,49
01103005701,2943,52
01103005702,5739,116
01105686800,1279,133
01105687000,5539,757
01105687100,3866,515
01107050000,4344,211
01107050100,3802,325
01107050200,1994,83
01107050300,3513,224
01107050400,6264,725
01109188600,1971,95
01109188700,1756,63
01109188800,1943,97
01109188900,4944,518
01109189000,7676,258
01109189100,6482,352
01109189200,2873,139
01109189300,4502,275
01111000100,3640,125
01111000200,3604,280
01111000300,3502,116
01111000400,4394,195
01111000500,5694,282
01111000600,1983,36
01113030200,2628,725
01113030300,3216,203
01113030401,5342,45
01113030402,2502,39
01113030500,2008,39
01113030600,6305,443
01113030700,3802,551
01113030800,3492,588
01113030901,7502,293
01113030902,5560,221
01113031000,3563,176
01113031100,1859,124
01113031200,3884,255
01115040103,7087,77
01115040104,5494,0
01115040105,3666,214
01115040106,6065,88
01115040201,5587,84
01115040203,5844,164
01115040204,5946,122
01115040205,5513,90
01115040300,5514,173
01115040401,4847,225
01115040402,3579,146
01115040501,11647,116
01115040502,9869,33
01117030102,4506,193
01117030103,1022,40
01117030211,2489,9
01117030212,2913,12
01117030213,4329,0
01117030214,6552,62
01117030215,3136,8
01117030216,5757,44
01117030217,5081,47
01117030303,6520,56
01117030304,5552,25
01117030305,4340,94
01117030306,3853,11
01117030314,3022,42
01117030315,6030,68
01117030316,4877,54
01117030317,3863,26
01117030319,3190,25
01117030320,4916,22
01117030330,5235,17
01117030331,4498,65
01117030332,1227,24
01117030333,4879,0
01117030334,3993,0
01117030336,5646,111
01117030337,1432,0
01117030340,5753,38
01117030341,1583,43
01117030342,2736,0
01117030344,2736,0
01117030345,2805,13
01117030405,1263,16
01117030406,3301,150
01117030407,2262,0
01117030408,3396,111
01117030501,6308,136
01117030502,1402,14
01117030604,6812,80
01117030605,5960,11
01117030607,5577,39
01117030608,2863,44
01117030609,6229,45
01117030701,3062,67
01117030703,4466,134
01117030704,4208,69
01117030800,3724,23
01117030900,2576,30
01117980000,0,0
01119011300,6057,429
01119011400,1706,164
01119011500,4805,439
01119011600,1303,16
01121010101,4647,45
01121010102,5330,132
01121010201,3935,110
01121010202,4079,0
01121010301,4236,62
01121010302,4303,62
01121010400,2722,54
01121010500,2527,212
01121010600,2812,475
01121010700,2524,74
01121010900,3662,119
01121011000,2644,79
01121011100,4619,141
01121011200,2806,165
01121011300,5988,362
01121011400,2422,112
01121011500,5536,104
01121011600,5347,382
01121011700,4158,192
01121011800,2909,285
01121011900,2773,72
01121012000,2368,57
01123961900,2697,130
01123962000,4194,434
01123962100,4118,372
01123962200,4922,226
01123962300,6572,414
01123962400,4453,202
01123962501,3802,98
01123962502,2900,30
01123962600,1802,150
01123962700,6074,491
01125010101,3372,73
01125010102,3169,57
01125010103,4743,148
01125010201,2839,0
01125010202,8287,70
01125010203,2330,94
01125010204,5078,129
01125010301,5643,122
01125010302,3650,112
01125010303,2829,48
01125010403,3724,243
01125010404,2595,206
01125010405,2793,97
01125010406,4376,76
01125010407,3300,78
01125010500,2702,366
01125010601,4393,52
01125010602,9921,154
01125010701,6127,48
01125010702,7680,92
01125010703,2569,45
01125010802,3778,25
01125010803,2658,235
01125010804,2566,23
01125011200,5565,242
01125011401,3279,102
01125011402,2757,131
01125011600,3034,236
01125011701,2190,250
01125011703,4538,902
01125011800,2974,494
01125011901,3222,311
01125011902,1641,376
01125012000,3399,161
01125012100,4669,97
01125012303,6883,639
01125012304,3633,195
01125012305,4706,83
01125012403,3696,36
01125012404,2172,79
01125012405,6466,382
01125012501,1591,11
01125012502,7149,104
01125012503,3839,56
01125012600,2213,94
01125012700,4214,222
01125012800,3379,358
01127020100,4026,321
01127020200,4402,202
01127020300,7022,77
01127020400,2311,198
01127020600,2551,19
01127020700,3501,233
01127020800,5371,148
01127020900,4586,176
01127021000,3880,75
01127021100,4e3,40
01127021200,3299,71
01127021300,3201,118
01127021400,3654,240
01127021500,3362,296
01127021600,1629,23
01127021700,4720,111
01127021800,3819,122
01127021900,2278,135
01129043900,3137,149
01129044000,4541,90
01129044100,3178,29
01129044200,3866,199
01129044300,2834,35
01131034700,1849,200
01131034800,5410,529
01131035100,3321,140
01131035200,1432,56
01133965501,2488,7
01133965502,2154,50
01133965503,2975,31
01133965600,5859,68
01133965700,4343,58
01133965800,4364,232
01133965900,2504,99
02013000100,3703,149
02016000100,1774,160
02016000200,4485,41
02020000101,5475,38
02020000102,4240,151
02020000201,4085,100
02020000202,5546,92
02020000203,11105,70
02020000204,3292,51
02020000300,6308,40
02020000400,5991,64
02020000500,1872,136
02020000600,6502,937
02020000701,5432,403
02020000702,5312,153
02020000703,5309,186
02020000801,6878,447
02020000802,4412,350
02020000901,6052,605
02020000902,2792,436
02020001000,3388,526
02020001100,879,140
02020001200,3628,193
02020001300,3072,9
02020001400,4899,733
02020001500,5295,78
02020001601,4157,12
02020001602,4342,156
02020001701,7340,403
02020001702,4638,156
02020001731,5222,297
02020001732,6054,71
02020001801,4701,377
02020001802,5502,298
02020001900,4840,484
02020002000,3082,434
02020002100,3207,161
02020002201,5006,0
02020002202,2883,91
02020002301,7292,105
02020002302,5334,206
02020002303,8865,183
02020002400,3017,34
02020002501,4750,27
02020002502,5244,102
02020002601,4352,187
02020002602,5534,43
02020002603,6639,69
02020002702,9816,84
02020002711,6738,453
02020002712,9188,207
02020002811,6093,185
02020002812,7469,64
02020002813,4783,0
02020002821,5285,118
02020002822,4190,0
02020002823,5023,48
02020002900,1917,0
02050000100,9481,5520
02050000200,5971,1186
02050000300,1386,626
02060000100,1049,104
02068000100,1144,12
02070000100,2569,981
02070000200,2248,212
02090000100,2025,763
02090000200,3627,519
02090000300,4687,454
02090000400,4632,77
02090000500,2666,121
02090000600,4601,100
02090000700,4624,239
02090000800,5992,215
02090000900,5583,50
02090001000,1296,47
02090001100,6775,0
02090001200,5756,6
02090001300,5478,93
02090001400,6816,64
02090001500,9421,132
02090001600,4919,248
02090001700,1060,66
02090001800,4213,44
02090001900,10268,159
02100000100,1658,66
02105000200,141,33
02105000300,1888,631
02110000100,4511,56
02110000200,7450,109
02110000300,4881,418
02110000400,5280,510
02110000500,3501,591
02110000600,5352,293
02122000100,251,17
02122000200,5776,139
02122000300,830,0
02122000400,5916,49
02122000500,6472,371
02122000600,7004,284
02122000700,8810,189
02122000800,3317,100
02122000900,1833,32
02122001000,4143,181
02122001100,3007,43
02122001200,851,141
02122001300,5707,155
02130000100,3349,185
02130000200,4890,570
02130000300,2796,349
02130000400,2361,41
02150000100,2666,487
02150000200,6025,648
02150000300,2067,136
02150000400,1006,162
02150000500,1585,0
02164000100,1626,612
02170000101,519,53
02170000102,2281,120
02170000200,1848,16
02170000300,5209,82
02170000401,1664,27
02170000402,1861,36
02170000501,1506,48
02170000502,1936,0
02170000601,3873,102
02170000603,5466,81
02170000604,3023,69
02170000701,2854,38
02170000703,3126,82
02170000705,4231,102
02170000706,5422,292
02170000800,4425,149
02170000900,2692,77
02170001001,3534,83
02170001003,3588,74
02170001004,5405,50
02170001100,5510,23
02170001201,4664,81
02170001202,4298,147
02170001300,5212,17
02180000100,5766,3469
02180000200,3549,585
02185000100,4139,949
02185000200,4713,1709
02185000300,0,0
02188000100,4299,2378
02188000200,3178,1293
02195000200,3841,285
02198000100,1500,212
02198000200,2435,299
02198000300,125,0
02198940100,1447,192
02220000100,3777,114
02220000200,5117,645
02230000100,1140,14
02240000100,2267,119
02240000400,4668,105
02261000100,2734,323
02261000200,2491,67
02261000300,4381,132
02270000100,7398,4394
02275000300,2338,137
02282000100,638,13
02290000100,1127,581
02290000200,1608,288
02290000300,1727,772
02290000400,1173,456
04001942600,1561,98
04001942700,4886,266
04001944000,5958,349
04001944100,4975,381
04001944201,3751,239
04001944202,3330,426
04001944300,6806,578
04001944901,3538,190
04001944902,6532,844
04001945001,4746,144
04001945002,4093,488
04001945100,2347,154
04001970200,4333,100
04001970300,3848,140
04001970501,5455,58
04001970502,4153,37
04003000100,2107,19
04003000201,3311,0
04003000202,3736,220
04003000203,3153,109
04003000301,4115,430
04003000302,5262,63
04003000303,3190,135
04003000400,2036,172
04003000500,5487,32
04003000600,2978,65
04003000700,4995,158
04003000800,4854,365
04003000901,3471,477
04003000902,2960,111
04003001000,1725,55
04003001100,3299,222
04003001200,3597,86
04003001300,5134,103
04003001401,4269,0
04003001402,1251,0
04003001501,3266,80
04003001502,3931,406
04003001601,4311,145
04003001602,4061,362
04003001701,4491,384
04003001702,4168,281
04003001703,4030,105
04003001800,8019,80
04003001900,7597,77
04003002001,5132,84
04003002002,4443,75
04003002100,4889,135
04005000100,3666,37
04005000200,3787,158
